"neighborhood","children","youth","working_age","preretired_age","senior","older_senior","drive_commute","passenger_commute","transit_commute","walk_commute","bike_commute","15min_commute","30min_commute","45min_commute","60min_commute","over_60min_commute","unemployment_female","employment_male","work_at_home","no_fixed_workplace","work_outside_canada","avg_total_income","avg_employment_income","avg_investment_income"
"Humber.Heights.Westmount",0.13244428206065,0.104128607964925,0.346181951041286,0.137924735111436,0.278132992327366,0.0867738399707709,0.255754475703325,0.0187248812568506,0.109609061015711,0.00593715747168433,0.000913408841797589,0.0328827183047132,0.128333942272561,0.115089514066496,0.0543478260869565,0.0675922542930216,0.000584581658750457,0.000767263427109974,0.0347095359883084,0.0630252100840336,0.00137011326269638,45615,45831,7349
"Humber.Summit",0.173566365979381,0.138530927835052,0.391027706185567,0.105911726804124,0.191688144329897,0.0209407216494845,0.259745489690722,0.0293975515463918,0.10510631443299,0.0076514175257732,0.000805412371134021,0.0543653350515464,0.122422680412371,0.101481958762887,0.039867912371134,0.0873872422680412,0.000716817010309278,0.000821520618556701,0.0120811855670103,0.076514175257732,0.00120811855670103,30731,32617,3538
"Humbermede",0.189449983917658,0.143132840141525,0.414602766162753,0.113219684786105,0.138951431328401,0.0167256352524928,0.252492762946285,0.0324863300096494,0.133161788356385,0.00739787713091026,0.00128658732711483,0.0456738501125764,0.127693792216147,0.118366034094564,0.050498552589257,0.0887745255709231,0.000707623029913155,0.000604696043743969,0.00836281762624638,0.0620778385332904,0.00128658732711483,29528,31321,2453
"Humewood.Cedarvale",0.150713539853811,0.112077967281587,0.487643578141316,0.114862513052558,0.135050469892099,0.0194918203967978,0.179951270449008,0.0191437521754264,0.259310824921685,0.031326139923425,0.0194918203967978,0.0462930734423947,0.139923424991298,0.202227636616777,0.0737904629307344,0.0556909154194222,0.000487295509919944,0.0005012182387748,0.054646710755308,0.0522102332057083,0.00208840932822833,65274,62707,17835
"Ionview",0.169342423575984,0.120592331940474,0.443515871270435,0.126090462576057,0.138552892016714,0.0179605600762407,0.178872516677663,0.0186936441609853,0.221757935635217,0.0172274759914962,0.00219925225423356,0.0586467267795616,0.0905358844659482,0.112894949050656,0.0857708379151089,0.098599809398138,0.00073308408474452,0.000571805586100726,0.0139285976101459,0.0579136426948171,0.00146616816948904,31383,33307,2510
"Islington.City.Centre.West",0.1323780279768,0.106789491641078,0.469464346639372,0.122824974411464,0.168429432503127,0.0336631411349937,0.267826680313886,0.0221767314909587,0.18662572500853,0.0180825656772433,0.00204708290685773,0.0612987603775731,0.134993745024451,0.131809393836006,0.0970089844194245,0.0764244285226885,0.000179688388490845,0.000154668486295917,0.0369612191515979,0.0606163994086205,0.00295689753212783,52787,54171,8708
"Junction.Area",0.15244326882918,0.101976889878881,0.519977725184463,0.12181539746624,0.104413197828205,0.012181539746624,0.199081163859112,0.019838507587359,0.232145343171377,0.0372407072253933,0.0365446192398719,0.0532507308923848,0.105109285813727,0.180982876235556,0.118334957538633,0.0703048865376584,0.000306278713629403,0.000487261589864959,0.0532507308923848,0.0710009745231797,0.00243630794932479,49709,51329,5465
"Keelesdale.Eglinton.West",0.145595948634473,0.129318140712606,0.433170555254115,0.129770302043769,0.161421595225176,0.0207994212334961,0.217941761620546,0.0420510037981552,0.165943208536806,0.0167299692530295,0.00452161331162959,0.0357207451618738,0.0972146862000362,0.143787303309821,0.0737022969795623,0.099475492855851,0.000759631036353771,0.000786760716223549,0.0153734852595406,0.110327364803762,0,33316,36304,3673
"Kennedy.Park",0.162062722653741,0.127022133971851,0.41581498569176,0.146586462652573,0.148922501898032,0.0192723237750394,0.194767272090171,0.018980318869357,0.204695438883373,0.00730012264206039,0.00262804415114174,0.0455527652864568,0.0797173392512994,0.117385972084331,0.0931495649126905,0.0978216434036092,0.000607370203819424,0.000473047947205513,0.0157682649068504,0.0563569467967062,0.00116801962272966,30974,33653,2236
"Kensington.Chinatown",0.0732794650320424,0.186681526887712,0.488158261354138,0.100027862914461,0.150738367233213,0.0267483978824185,0.0612984118138757,0.00919476177208136,0.125104485929228,0.213987183059348,0.0523822791864029,0.115631095012538,0.176372248537197,0.100863750348286,0.0339927556422402,0.0412371134020619,0.000462524380050153,0.000440234048481471,0.0465310671496239,0.048202842017275,0.00278629144608526,37422,42026,8336
"Kingsview.Village.The.Westway",0.192727272727273,0.137272727272727,0.3925,0.115909090909091,0.162954545454545,0.0261363636363636,0.2425,0.0204545454545455,0.121136363636364,0.0122727272727273,0.00204545454545455,0.0556818181818182,0.127954545454545,0.0979545454545455,0.0440909090909091,0.0761363636363636,0.000495454545454545,4e-04,0.0175,0.0645454545454545,0.00181818181818182,36674,37193,5895
"Kingsway.South",0.170423902491641,0.118649552367598,0.350016179484414,0.145076043576745,0.215187142703053,0.0350555495631539,0.238377737029447,0.0129435875310107,0.12781792686873,0.0124042713838852,0.00323589688275267,0.0447632402114119,0.0927623773055765,0.149929888900874,0.078740157480315,0.0345162334160285,0.000819760543630676,0.00078740157480315,0.0711897314205587,0.0328982849746521,0.00431452917700356,144642,141819,33859
"Lambton.Baby.Point",0.212273011897307,0.113337507827176,0.414527238572323,0.13149655604258,0.128365685660614,0.0175328741390106,0.201628052598622,0.0169067000626174,0.175328741390106,0.0175328741390106,0.0156543519098309,0.0356919223544145,0.0964308077645585,0.152160300563557,0.0932999373825924,0.0569818409517846,0.00115216030056356,0.000776455854727614,0.0488415779586725,0.0432060112711334,0.00313087038196619,76629,77782,20200
"L.Amoreaux",0.139113040711022,0.130247993999045,0.391198599777237,0.134794171800059,0.20435069215557,0.0305730457118178,0.227422544495715,0.0277316845861842,0.133998590684882,0.00841042893187553,0.00193212556543086,0.0420521446593776,0.109449230559407,0.105925942763621,0.0528493169367854,0.0921737549155548,0.000261405223558293,0.000229581978951197,0.0229581978951197,0.0513718091514559,0.00261405223558293,31826,33729,3809
